line,sentence_boundary_exists_after_this_line
[Verse 1],0
We were both young when I first saw you,1
"I close my eyes, and the flashback starts",1
I'm standing there,0
On a balcony in summer air,1
"See the lights, see the party, the ball gowns",1
See you make your way through the crowd,0
"And say, ""Hello""",1
Little did I know,0
,
[Pre-Chorus],0
"That you were Romeo, you were throwing pebbles",0
"And my daddy said, ""Stay away from Juliet""",0
And I was crying on the staircase,0
"Begging you, ""Please don't go,"" and I said",1
,
[Chorus],0
"Romeo, take me somewhere we can be alone",1
"I'll be waiting, all there's left to do is run",1
You'll be the prince and I'll be the princess,1
"It's a love story, baby, just say ""Yes""",1
[Verse 2],0
So I sneak out to the garden to see you,1
"We keep quiet, 'cause we're dead if they knew",0
So close your eyes,1
"Escape this town for a little while, oh, oh",1
,
[Pre-Chorus],0
"'Cause you were Romeo, I was a scarlet letter",0
"And my daddy said, ""Stay away from Juliet""",0
But you were everything to me,0
"I was begging you, ""Please don't go,"" and I said",1
,
[Chorus],0
"Romeo, take me somewhere we can be alone",1
"I'll be waiting, all there's left to do is run",1
You'll be the prince and I'll be the princess,1
"It's a love story, baby, just say ""Yes""",1
"Romeo, save me, they're trying to tell me how to feel",1
"This love is difficult, but it's real",1
"Don't be afraid, we'll make it out of this mess",1
"It's a love story, baby, just say ""Yes""",1
,
[Post-Chorus],0
"Oh, oh",0
,
[Bridge],0
I got tired of waiting,0
Wondering if you were ever coming around,1
My faith in you was fading,0
When I met you on the outskirts of town,1
[Breakdown],0
"And I said, ""Romeo, save me, I've been feeling so alone",1
I keep waiting for you but you never come,1
"Is this in my head? I don't know what to think""",1
"He knelt to the ground and pulled out a ring, and said",1
,
[Chorus],0
"""Marry me, Juliet, you'll never have to be alone",1
"I love you, and that's all I really know",1
"I talked to your dad, go pick out a white dress",1
"It's a love story, baby, just say 'Yes'""",1
,
[Outro],0
"Oh, oh, oh",1
"Oh, oh, oh",1
'Cause we were both young when I first saw you,1
